event_id,bracket_bundle_id,bracket_name
19787,1211252,Men / Adults / Beginner / -60 kg
19787,1211249,Men / Adults / Beginner / -65 kg
19787,1211246,Men / Adults / Beginner / -70 kg
19787,1211251,Men / Adults / Beginner / -76 kg
19787,1211256,Men / Adults / Beginner / -83 kg
19787,1211257,Men / Adults / Beginner / -91 kg
19787,1211258,Men / Adults / Beginner / -100 kg
19787,1211248,Men / Adults / Beginner / +100 kg
19787,1211250,Men / Adults / Intermediate  / -60 kg
19787,1211254,Men / Adults / Intermediate  / -65 kg
19787,1211247,Men / Adults / Intermediate  / -70 kg
19787,1211239,Men / Adults / Intermediate  / -76 kg
19787,1211243,Men / Adults / Intermediate  / -83 kg
19787,1211245,Men / Adults / Intermediate  / -91 kg
19787,1211261,Men / Adults / Intermediate  / -100 kg
19787,1211242,Men / Adults / Intermediate  / +100 kg
19787,1211255,Men / Adults / Advanced / -60 kg
19787,1211240,Men / Adults / Advanced / -65 kg
19787,1211259,Men / Adults / Advanced / -70 kg
19787,1211238,Men / Adults / Advanced / -76 kg
19787,1211244,Men / Adults / Advanced / -83 kg
19787,1211253,Men / Adults / Advanced / -91 kg
19787,1211241,Men / Adults / Advanced / -100 kg
19787,1211260,Men / Adults / Advanced / +100 kg
19787,1211100,Men / Masters 35+ / Beginner / -70 kg
19787,1211087,Men / Masters 35+ / Beginner / -76 kg
19787,1211097,Men / Masters 35+ / Beginner / -83 kg
19787,1211098,Men / Masters 35+ / Beginner / -100 kg
19787,1211086,Men / Masters 35+ / Intermediate  / -65 kg
19787,1211083,Men / Masters 35+ / Intermediate  / -70 kg
19787,1211092,Men / Masters 35+ / Intermediate  / -76 kg
19787,1211094,Men / Masters 35+ / Intermediate  / -83 kg
19787,1211093,Men / Masters 35+ / Intermediate  / -91 kg
19787,1211099,Men / Masters 35+ / Intermediate  / -100 kg
19787,1211095,Men / Masters 35+ / Intermediate  / +100 kg
19787,1211090,Men / Masters 35+ / Advanced / -65 kg
19787,1211089,Men / Masters 35+ / Advanced / -70 kg
19787,1211084,Men / Masters 35+ / Advanced / -76 kg
19787,1211088,Men / Masters 35+ / Advanced / -83 kg
19787,1211096,Men / Masters 35+ / Advanced / -91 kg
19787,1211085,Men / Masters 35+ / Advanced / -100 kg
19787,1211091,Men / Masters 35+ / Advanced / +100 kg
19787,1218311,Men's Absolute / Adult / Advanced
19787,1211109,"Women / Adult / Beginner / -55,0 kg"
19787,1211118,"Women / Adult / Beginner / -60,0 kg"
19787,1211114,"Women / Adult / Beginner / -70,0 kg"
19787,1211108,"Women / Adult / Intermediate / -55,0 kg"
19787,1211107,"Women / Adult / Intermediate / -60,0 kg"
19787,1211110,"Women / Adult / Intermediate / -65,0 kg"
19787,1211116,"Women / Adult / Intermediate / +70,0 kg"
19787,1211112,"Women / Adult / Advanced / -55,0 kg"
19787,1211111,"Women / Adult / Advanced / -60,0 kg"
19787,1211115,"Women / Adult / Advanced / -65,0 kg"
19787,1211113,"Women / Adult / Advanced / -70,0 kg"
19787,1211101,"Women / Master 35+ / Beginner / -55,0 kg"
19787,1211106,"Women / Master 35+ / Intermediate / -60,0 kg"
19787,1211104,"Women / Master 35+ / Intermediate / -70,0 kg"
19787,1211102,"Women / Master 35+ / Intermediate / +70,0 kg"
19787,1211103,"Women / Master 35+ / Advanced / -60,0 kg"
19787,1218118,Women's Absolute / Adult / Advanced
19787,1211172,"Girls [9-10 years] / Beginner / -44,0 kg"
19787,1211173,"Girls [9-10 years] / Advanced / -40,0 kg"
19787,1211174,"Girls [9-10 years] / Advanced / -44,0 kg"
19787,1211171,"Girls [11-12 years] / Beginner / -32,0 kg"
19787,1211170,"Girls [11-12 years] / Advanced / -48,0 kg"
19787,1211224,"Girls [13-14 years] / Intermediate / -50,0 kg"
19787,1211225,"Girls [13-14 years] / Advanced / -60,0 kg"
19787,1211203,"Girls [15-17 years] / Beginner / -55,0 kg"
19787,1211215,"Girls [15-17 years] / Advanced / -55,0 kg"
19787,1211218,"Girls [15-17 years] / Advanced / -65,0 kg"
19787,1211202,"Girls [15-17 years] / Advanced / +65,0 kg"
19787,1210979,"Boys [7-8 years] / Intermediate / -36,0 kg"
19787,1217503,"Boys [7-8 years] / Advanced / -36,0 kg"
19787,1211167,"Boys [9-10 years] / Intermediate / -36,0 kg"
19787,1211164,"Boys [9-10 years] / Advanced / -32,0 kg"
19787,1211168,"Boys [9-10 years] / Advanced / -40,0 kg"
19787,1211166,"Boys [11-12 years] / Intermediate / -36,0 kg"
19787,1211165,"Boys [11-12 years] / Advanced / -40,0 kg"
19787,1211163,"Boys [11-12 years] / Advanced / -44,0 kg"
19787,1211221,"Boys [13-14 years] / Beginner / -50,0 kg"
19787,1211195,"Boys [13-14 years] / Intermediate / -65,0 kg"
19787,1211214,"Boys [13-14 years] / Advanced / -55,0 kg"
19787,1211207,"Boys [13-14 years] / Advanced / -65,0 kg"
19787,1211197,"Boys [13-14 years] / Advanced / +65,0 kg"
19787,1211208,"Boys [15-17 years] / Beginner / -55,0 kg"
19787,1211196,"Boys [15-17 years] / Beginner / -60,0 kg"
19787,1211194,"Boys [15-17 years] / Beginner / -65,0 kg"
19787,1211209,"Boys [15-17 years] / Beginner / -70,0 kg"
19787,1211206,"Boys [15-17 years] / Beginner / -75,0 kg"
19787,1211198,"Boys [15-17 years] / Beginner / -80,0 kg"
19787,1211213,"Boys [15-17 years] / Intermediate / -65,0 kg"
19787,1211220,"Boys [15-17 years] / Intermediate / -80,0 kg"
19787,1211217,"Boys [15-17 years] / Advanced / -50,0 kg"
19787,1211205,"Boys [15-17 years] / Advanced / -60,0 kg"
19787,1211200,"Boys [15-17 years] / Advanced / -65,0 kg"
19787,1211201,"Boys [15-17 years] / Advanced / -70,0 kg"
19787,1211199,"Boys [15-17 years] / Advanced / -75,0 kg"
19787,1217506,"Boys [15-17 years] / Advanced / -80,0 kg"
19787,1211204,"Boys [15-17 years] / Advanced / +80,0 kg"
19885,1199570,"Men / Adult (age 15+) / Beginner / -65,0 kg"
19885,1199566,"Men / Adult (age 15+) / Beginner / -70,0 kg"
19885,1199571,"Men / Adult (age 15+) / Beginner / -76,0 kg"
19885,1199555,"Men / Adult (age 15+) / Beginner / -83,0 kg"
19885,1199557,"Men / Adult (age 15+) / Beginner / -91,0 kg"
19885,1199569,"Men / Adult (age 15+) / Beginner / -100,0 kg"
19885,1199573,"Men / Adult (age 15+) / Intermediate / -55,0 kg"
19885,1199562,"Men / Adult (age 15+) / Intermediate / -60,0 kg"
19885,1199561,"Men / Adult (age 15+) / Intermediate / -65,0 kg"
19885,1199552,"Men / Adult (age 15+) / Intermediate / -70,0 kg"
19885,1199556,"Men / Adult (age 15+) / Intermediate / -76,0 kg"
19885,1199559,"Men / Adult (age 15+) / Intermediate / -83,0 kg"
19885,1199563,"Men / Adult (age 15+) / Intermediate / -91,0 kg"
19885,1199558,"Men / Adult (age 15+) / Intermediate / -100,0 kg"
19885,1199565,"Men / Adult (age 15+) / Intermediate / +100,0 kg"
19885,1199574,"Men / Adult (age 15+) / Advanced / -60,0 kg"
